voted_for,gender,education,age,white
Biden,Male,Post-grad,48,Yes
Trump,Female,4-year,61,Yes
Biden,Female,Post-grad,61,Yes
Biden,Male,Post-grad,50,Yes
Biden,Male,Post-grad,63,No
Trump,Male,4-year,66,No
Biden,Female,Post-grad,50,Yes
Biden,Female,Some college,70,Yes
Biden,Female,4-year,57,Yes
Trump,Male,4-year,73,Yes
Biden,Female,Post-grad,29,Yes
Trump,Male,Post-grad,53,Yes
Trump,Male,2-year,71,Yes
Trump,Female,2-year,72,Yes
Biden,Male,Some college,65,Yes
Biden,Male,2-year,81,Yes
Trump,Male,2-year,65,Yes
Trump,Female,Post-grad,65,Yes
Trump,Female,4-year,63,Yes
Trump,Male,4-year,59,Yes
Trump,Male,Some college,56,Yes
Biden,Female,Post-grad,44,Yes
Biden,Female,Some college,52,No
Biden,Female,Some college,77,Yes
Biden,Male,4-year,72,No
Biden,Female,Post-grad,34,No
Biden,Male,Post-grad,61,Yes
Trump,Male,4-year,54,Yes
Biden,Male,4-year,55,Yes
Trump,Female,Post-grad,41,Yes
Biden,Female,2-year,61,Yes
Biden,Female,Some college,54,Yes
Biden,Male,Post-grad,33,Yes
Biden,Female,4-year,55,Yes
Trump,Female,Post-grad,52,Yes
Biden,Female,Post-grad,55,Yes
Biden,Male,Post-grad,48,Yes
Trump,Male,4-year,69,Yes
Biden,Female,4-year,58,Yes
Trump,Female,Some college,66,Yes
Trump,Male,4-year,61,No
Trump,Female,Some college,71,Yes
Biden,Female,Some college,60,Yes
Biden,Male,Some college,79,Yes
Biden,Male,Post-grad,26,Yes
Trump,Male,Some college,77,Yes
Trump,Female,2-year,51,Yes
Trump,Male,4-year,74,Yes
Biden,Female,Post-grad,60,Yes
Trump,Female,Some college,60,Yes
Biden,Female,Post-grad,77,Yes
Biden,Female,4-year,34,Yes
Biden,Male,Post-grad,51,Yes
Trump,Female,Some college,77,Yes
Trump,Male,2-year,66,Yes
Trump,Male,4-year,82,Yes
Biden,Male,Post-grad,44,Yes
Biden,Male,Some college,73,Yes
Trump,Male,4-year,67,Yes
Biden,Female,Some college,72,Yes
Biden,Female,Post-grad,75,Yes
Biden,Male,Post-grad,48,Yes
Biden,Male,Post-grad,68,Yes
Biden,Female,4-year,64,Yes
Biden,Female,Post-grad,59,No
Biden,Male,Some college,83,Yes
Biden,Female,4-year,52,Yes
Biden,Male,Post-grad,36,No
Trump,Female,2-year,62,Yes
Trump,Female,2-year,72,Yes
Trump,Male,Post-grad,61,Yes
Biden,Female,4-year,42,Yes
Trump,Male,Post-grad,68,No
Biden,Male,Post-grad,64,Yes
Trump,Female,Post-grad,58,Yes
Biden,Female,Post-grad,54,Yes
Trump,Female,2-year,66,Yes
Trump,Female,4-year,64,Yes
Trump,Female,Some college,33,Yes
Biden,Female,Post-grad,36,Yes
Trump,Male,Post-grad,51,Yes
Biden,Female,Some college,82,Yes
Biden,Female,4-year,48,Yes
Biden,Female,4-year,49,Yes
Biden,Female,4-year,71,Yes
Biden,Male,Post-grad,62,Yes
Trump,Male,4-year,51,Yes
Biden,Male,Some college,59,Yes
Biden,Female,Post-grad,38,Yes
Trump,Male,Some college,65,Yes
Biden,Female,Some college,63,Yes
Trump,Female,High school graduate,63,Yes
Trump,Female,2-year,52,Yes
Biden,Female,2-year,64,No
Trump,Male,Post-grad,82,Yes
Biden,Female,4-year,55,Yes
Biden,Female,4-year,61,Yes
Trump,Female,Some college,78,Yes
Trump,Female,2-year,39,Yes
Biden,Female,4-year,62,Yes
Biden,Male,Some college,64,Yes
Biden,Male,Post-grad,62,Yes
Biden,Female,Some college,61,No
Biden,Female,4-year,66,No
Biden,Female,Post-grad,42,Yes
Trump,Male,4-year,42,Yes
Biden,Male,4-year,67,Yes
